,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mundra,1,IN,1561572778,77,22.84,69.73,84.51,16.33
1,Hithadhoo,45,MV,1561572780,72,-0.6,73.08,84.69,9.26
2,Genhe,100,CN,1561572781,92,50.78,121.52,53.55,7.31
3,Esperance,90,AU,1561572782,82,-33.86,121.89,59.0,13.87
4,Sabha,0,LY,1561572784,8,27.03,14.43,100.53,16.15
5,Georgetown,40,GY,1561572785,74,6.8,-58.16,89.6,13.87
6,Lompoc,90,US,1561572565,63,34.64,-120.46,69.01,5.77
7,Vaini,92,IN,1561572787,89,15.34,74.49,78.75,3.49
8,Port Alfred,67,ZA,1561572788,93,-33.59,26.89,59.0,1.01
9,Fort Nelson,75,CA,1561572789,72,58.81,-122.69,62.6,11.41
10,Srednekolymsk,19,RU,1561572791,41,67.46,153.71,51.39,18.1
11,Avarua,25,CK,1561572656,94,-21.21,-159.78,69.8,2.24
12,Aklavik,40,CA,1561572793,66,68.22,-135.01,48.2,4.7
13,Marzuq,87,YE,1561572794,12,14.4,46.47,92.25,10.0
14,Tiksi,0,RU,1561572795,59,71.64,128.87,58.77,8.7
15,Rikitea,73,PF,1561572797,79,-23.12,-134.97,74.25,10.63
16,Rocha,9,UY,1561572798,58,-34.48,-54.34,51.57,9.08
17,Freeport,40,BS,1561572799,66,26.54,-78.7,89.6,11.41
18,East London,20,ZA,1561572800,82,-33.02,27.91,62.6,10.29
19,Lastoursville,61,GA,1561572802,84,-0.81,12.73,74.25,5.23
20,Kalmunai,100,LK,1561572548,72,7.42,81.82,79.11,0.72
21,Esso,92,RU,1561572804,95,55.93,158.7,36.63,5.26
22,Busselton,17,AU,1561572805,49,-33.64,115.35,57.0,32.44
23,Nikolskoye,40,RU,1561572806,55,59.7,30.79,66.2,4.47
24,Barrow,74,AR,1561572808,27,-38.31,-60.23,56.07,25.26
25,Male,57,UA,1561572809,79,50.74,33.7,67.95,6.8
26,Butaritari,90,KI,1561572810,73,3.07,172.79,83.61,15.79
27,Mar del Plata,100,AR,1561572644,46,-46.43,-67.52,48.87,20.98
28,Dingle,95,PH,1561572812,88,11.0,122.67,75.33,5.39
29,Ponta do Sol,25,BR,1561572753,43,-20.63,-46.0,77.85,6.64
30,Punta Arenas,0,CL,1561572815,57,-53.16,-70.91,32.0,10.29
31,Mentougou,0,CN,1561572816,64,39.94,116.09,84.99,4.47
32,Tazovskiy,27,RU,1561572777,65,67.47,78.7,41.31,3.09
33,Hobart,0,AU,1561572818,75,-42.88,147.33,44.6,10.29
34,Sao Filipe,0,CV,1561572819,85,14.9,-24.5,75.15,24.92
35,Tuatapere,47,NZ,1561572699,82,-46.13,167.69,48.0,5.99
36,Mareeba,40,AU,1561572822,77,-16.99,145.42,69.8,13.87
37,Belaya Gora,7,RU,1561572823,33,68.54,146.19,60.03,12.86
38,Castro,75,CL,1561572688,93,-42.48,-73.76,46.4,11.41
39,Atasu,41,KZ,1561572825,58,48.68,71.64,75.15,17.98
40,Talnakh,75,RU,1561572826,65,69.49,88.39,44.6,8.95
41,Ushuaia,75,AR,1561572828,90,-54.81,-68.31,33.8,8.05
42,Sao Joao da Barra,0,BR,1561572829,43,-21.64,-41.05,87.8,6.93
43,Upernavik,7,GL,1561572830,88,72.79,-56.15,33.75,11.95
44,Karatau,0,KZ,1561572831,75,43.18,70.46,77.0,1.01
45,Kande,100,UG,1561572832,98,0.3,32.05,64.89,1.12
46,Moscow,100,RU,1561572787,93,55.75,37.62,61.0,2.24
47,Dikson,100,RU,1561572835,94,73.51,80.55,33.21,16.6
48,Clyde River,40,CA,1561572836,86,70.47,-68.59,39.2,19.46
49,Ulladulla,90,AU,1561572837,100,-35.36,150.48,50.0,6.93
50,Carnarvon,0,ZA,1561572700,29,-30.97,22.13,46.35,7.85
51,Veraval,0,FR,1561572839,58,49.65,0.71,84.0,14.99
52,Khatanga,70,RU,1561572841,59,71.98,102.47,49.95,9.37
53,Mataura,74,NZ,1561572842,82,-46.19,168.86,48.0,5.99
54,Saint-Augustin,75,CA,1561572843,73,45.63,-73.98,82.99,4.7
55,Hofn,0,IS,1561572844,59,64.25,-15.21,60.8,6.93
56,Severo-Kurilsk,99,RU,1561572846,97,50.68,156.12,40.41,7.16
57,Albany,40,US,1561572651,45,42.65,-73.75,86.0,6.93
58,Bredasdorp,0,ZA,1561572848,93,-34.53,20.04,54.0,1.12
59,Dabakala,73,CI,1561572849,80,8.36,-4.43,80.73,4.63
60,Mahebourg,75,MU,1561572851,94,-20.41,57.7,73.4,17.22
61,Kroya,23,ID,1561572852,88,-6.5,108.06,71.37,1.14
62,Ewa Beach,75,US,1561572853,88,21.32,-158.01,75.0,6.93
63,Kruisfontein,96,ZA,1561572854,94,-34.0,24.73,56.61,6.04
64,Verkhnevilyuysk,0,RU,1561572856,94,63.45,120.31,55.17,2.91
65,Bandarbeyla,35,SO,1561572857,58,9.49,50.81,81.63,27.07
66,Inta,87,RU,1561572858,76,66.04,60.13,48.33,4.92
67,Souillac,0,FR,1561572859,35,45.6,-0.6,98.6,11.41
